geo_code,store_geo_code,store_option_id,population,retail_market,is_open,distance,drive_time,agg_beta,alpha,beta,turnover_no_competition,local_market_share_fraction,turnover_w_competition,competition_impact,turnover
60880904,60882902,1,1180.24201298,3413911.830272125,True,10461.1,20.9222,3.1936995999999995,1,0.090778,309908.08812844293,0.027638489603339058,94355.36662769235,0.30446242044701427,94355.36662769235
60880904,60883701,1,1180.24201298,3413911.830272125,True,5271.6,10.5432,3.1936995999999995,1,0.667408,1291387.2558606972,0.17285402768884248,590108.4100371248,0.45695697193776563,590108.4100371248
60880904,60880501,1,1180.24201298,3413911.830272125,True,3479.6,6.9592,3.1936995999999995,1,0.882448,1988426.1177183385,0.21649068841373656,739080.1223194117,0.3716910151871696,739080.1223194117
60880904,60880904,1,1180.24201298,3413911.830272125,False,0.0,0.0,3.1936995999999995,1,1.0,2731129.4642177,0.238452940215365,814057.3135644064,0.29806617526920626,814057.3135644064
60880904,60882503,1,1180.24201298,3413911.830272125,False,5905.5,11.811,3.1936995999999995,1,0.59134,1118260.9591239374,0.15623086215531273,533358.3885656358,0.4769534196950565,533358.3885656358
60880904,60880902,1,1180.24201298,3413911.830272125,False,364.2,0.7284,3.1936995999999995,1,1.0,2681395.5966742956,0.238452940215365,814057.3135644064,0.3035946335460804,814057.3135644064
60880904,60883202,1,1180.24201298,3413911.830272125,False,7868.0,15.736,3.1936995999999995,1,0.35583999999999993,632529.5839128194,0.10024962110579073,342243.3674733571,0.5410709256573334,342243.3674733571
60880904,60880102,1,1180.24201298,3413911.830272125,False,4956.5,9.913,3.1936995999999995,1,0.70522,1383385.3518628706,0.18087574824574482,617493.8567454708,0.446364316286819,617493.8567454708
60880904,60881703,1,1180.24201298,3413911.830272125,False,4372.3,8.7446,3.1936995999999995,1,0.775324,1622714.2268122674,0.1953437616243955,666886.3787793817,0.410969699877127,666886.3787793817
60880904,60882304,1,1180.24201298,3413911.830272125,False,5079.0,10.158,3.1936995999999995,1,0.69052,1343988.8093415303,0.1777757364696888,606910.6898692102,0.4515742137514956,606910.6898692102
60880904,60883402,1,1180.24201298,3413911.830272125,False,6911.5,13.823,3.1936995999999995,1,0.4706199999999999,843509.3350236367,0.12843312029878617,438459.3487867891,0.5198037894559906,438459.3487867891
60880904,60883601,1,1180.24201298,3413911.830272125,False,5973.4,11.9468,3.1936995999999995,1,0.5831919999999999,1099716.5900618993,0.15441057402865363,527144.0853955303,0.47934539694982614,527144.0853955303
60880904,60881403,1,1180.24201298,3413911.830272125,False,4893.0,9.786,3.1936995999999995,1,0.71284,1409399.3600095443,0.18247351185176777,622948.4808220508,0.44199571711018254,622948.4808220508
60880904,60882804,1,1180.24201298,3413911.830272125,False,8924.4,17.8488,3.1936995999999995,1,0.22907199999999994,488271.32561284036,0.0669258796000294,228479.05211790823,0.4679346095762208,228479.05211790823
60880904,60883501,1,1180.24201298,3413911.830272125,False,7495.1,14.9902,3.1936995999999995,1,0.40058799999999994,684120.6194918917,0.1114512928792899,380484.88725973124,0.5561663782949913,380484.88725973124
60880904,60881803,1,1180.24201298,3413911.830272125,False,4726.7,9.4534,3.1936995999999995,1,0.732796,1477527.3844944546,0.1866285040533345,637133.257853668,0.4312158708798938,637133.257853668
60880904,60883002,1,1180.24201298,3413911.830272125,False,9883.0,19.766,3.1936995999999995,1,0.11404000000000003,357368.2903928862,0.03447671636545998,117700.4698689804,0.3293534234377146,117700.4698689804
60880904,60882501,1,1180.24201298,3413911.830272125,False,6171.4,12.3428,3.1936995999999995,1,0.5594319999999999,1045640.2266703887,0.1490573898341321,508868.7865442276,0.4866576223493317,508868.7865442276
60880904,60880901,1,1180.24201298,3413911.830272125,False,627.3,1.2546,3.1936995999999995,1,1.0,2645467.588572512,0.238452940215365,814057.3135644064,0.30771774225503545,814057.3135644064
60880904,60880601,1,1180.24201298,3413911.830272125,False,3238.3,6.4766,3.1936995999999995,1,0.911404,2087279.3486756983,0.2220172957388944,757947.4724480367,0.3631269925268634,757947.4724480367
60880904,60882904,1,1180.24201298,3413911.830272125,False,10292.1,20.5842,3.1936995999999995,1,0.09415800000000002,321447.1101147628,0.02863810160148056,97767.95385382957,0.3041494254495694,97767.95385382957
60880904,60881502,1,1180.24201298,3413911.830272125,False,4411.1,8.8222,3.1936995999999995,1,0.7706679999999999,1606819.0533305204,0.19439872326673238,663660.1011500946,0.4130272788180467,663660.1011500946
60880904,60882301,1,1180.24201298,3413911.830272125,False,5483.2,10.9664,3.1936995999999995,1,0.6420159999999999,1233596.5563978509,0.16737841564687433,571415.1533090692,0.46321072342940334,571415.1533090692
60880904,60880403,1,1180.24201298,3413911.830272125,False,4164.5,8.329,3.1936995999999995,1,0.80026,1707843.532211933,0.20036757507512096,684037.2349518936,0.4005268761746311,684037.2349518936
60880904,60880203,1,1180.24201298,3413911.830272125,False,4415.9,8.8318,3.1936995999999995,1,0.770092,1604852.6401162841,0.19428165698721397,663260.4471935208,0.41328432942320636,663260.4471935208
60880904,60880206,1,1180.24201298,3413911.830272125,False,4408.0,8.816,3.1936995999999995,1,0.77104,1608089.0285313819,0.19447431049443953,663918.1492809816,0.4128615627004915,663918.1492809816
60880904,60881401,1,1180.24201298,3413911.830272125,False,4542.7,9.0854,3.1936995999999995,1,0.754876,1552906.5577068634,0.19117678790295925,652660.6978953375,0.4202833033683009,652660.6978953375
60880904,60880103,1,1180.24201298,3413911.830272125,False,4716.9,9.4338,3.1936995999999995,1,0.7339720000000001,1481542.1448068547,0.18687203889449416,637964.6643289863,0.4306085159745195,637964.6643289863
