Id,Description,Fixed Duration,Long Name,Module,Task Type,Transition End Type,Transition Start Type
Plane3_2AJ430-01-648CA,Plane3|2|01,1800,Plane3_2AJ430-01-648CA,Plane3_01,JOB,,
Plane3_2AJ430-01-691C,Plane3|2|01,6480,Plane3_2AJ430-01-691C,Plane3_01,JOB,,
Plane3_2AJ430-01-704UA,Plane3|2|01,79200,Plane3_2AJ430-01-704UA,Plane3_01,JOB,,
Plane3_2AJ430-01-706YA,Plane3|2|01,14400,Plane3_2AJ430-01-706YA,Plane3_01,JOB,,
Plane3_2AJ430-01-726UA,Plane3|2|01,7200,Plane3_2AJ430-01-726UA,Plane3_01,JOB,,
Plane3_2AJ430-01-728CA,Plane3|2|01,6480,Plane3_2AJ430-01-728CA,Plane3_01,JOB,,
Plane3_2AJ430-01-745CA,Plane3|2|01,5040,Plane3_2AJ430-01-745CA,Plane3_01,JOB,,
Plane3_2AJ430-01-752WA,Plane3|2|01,3240,Plane3_2AJ430-01-752WA,Plane3_01,JOB,,
Plane3_2AJ430-01-754CA,Plane3|2|01,22320,Plane3_2AJ430-01-754CA,Plane3_01,JOB,,
Plane3_2AJ430-01-757YA,Plane3|2|01,18000,Plane3_2AJ430-01-757YA,Plane3_01,JOB,,
Plane3_2AJ430-01-821WA,Plane3|2|01,3240,Plane3_2AJ430-01-821WA,Plane3_01,JOB,,
Plane3_2AJ430-01-823CA,Plane3|2|01,5760,Plane3_2AJ430-01-823CA,Plane3_01,JOB,,
Plane3_2AJ430-01-825CA,Plane3|2|01,10800,Plane3_2AJ430-01-825CA,Plane3_01,JOB,,
Plane3_2AJ430-01-829CA,Plane3|2|01,5400,Plane3_2AJ430-01-829CA,Plane3_01,JOB,,
Plane3_2AJ430-01-831WA,Plane3|2|01,5760,Plane3_2AJ430-01-831WA,Plane3_01,JOB,,
Plane3_2AJ430-01-833WA,Plane3|2|01,7559,Plane3_2AJ430-01-833WA,Plane3_01,JOB,,
Plane3_2AJ430-01-837WA,Plane3|2|01,25200,Plane3_2AJ430-01-837WA,Plane3_01,JOB,,
Plane3_2AJ430-01-839WA,Plane3|2|01,25200,Plane3_2AJ430-01-839WA,Plane3_01,JOB,,
Plane3_2AJ430-01-903XA,Plane3|2|01,16200,Plane3_2AJ430-01-903XA,Plane3_01,JOB,,
Plane3_2AJ430-01-904UA,Plane3|2|01,15119,Plane3_2AJ430-01-904UA,Plane3_01,JOB,,
Plane3_2AJ430-01-905UA,Plane3|2|01,15480,Plane3_2AJ430-01-905UA,Plane3_01,JOB,,
Plane3_2AJ430-01-906XA,Plane3|2|01,16560,Plane3_2AJ430-01-906XA,Plane3_01,JOB,,
