id1,id2
129392,91124
129392,138875
129392,95134
129392,153136
129392,129392
129392,79044
129392,91945
129392,80051
129392,59778
129392,133777
129392,143343
129392,119826
129392,71408
129392,135394
129392,12501
129392,137606
129392,21454
129392,106522
129392,109518
129392,1446
129392,83246
129392,98686
129392,65755
129392,68775
129392,93491
129392,54957
53195,108698
53195,128579
53195,6417
53195,159850
53195,642
53195,53195
53195,64935
53195,78222
53195,37478
53195,127584
53195,97864
53195,19569
53195,38296
53195,58966
53195,122451
54136,87167
54136,154130
54136,160847
54136,123458
54136,56708
54136,32146
54136,112432
54136,26307
54136,39303
54136,110525
54136,130399
54136,54136
54136,66751
54136,45220
54136,22461
54136,16381
54136,60785
54136,86345
125365,148310
125365,102462
125365,144324
125365,29287
125365,43200
125365,7424
125365,125365
125365,99682
125365,69770
125365,107506
125365,41201
125365,84229
125365,13506
125365,2453
14503,81058
14503,3449
14503,67735
14503,15132
14503,41954
14503,85213
14503,14503
14503,17388
14503,8431
14503,100677
14503,88174
14503,64115
14503,30096
14503,161854
62578,88984
62578,76800
62578,124465
62578,73516
62578,51323
62578,44019
62578,48107
62578,114241
62578,145942
62578,62578
62578,61781
62578,32964
62578,75992
62578,47046
62578,103469
62578,104233
62578,74330
62578,131395
62578,162730
23917,115833
23917,10706
23917,23917
23917,118820
23917,142756
11675,39937
11675,152318
11675,92936
11675,121631
11675,117615
11675,105712
11675,20634
11675,95939
11675,11675
11675,138613
11675,82432
132775,151498
132775,35650
132775,132775
