_0CanalsId.id,_0CanalsId.fromNode,_0CanalsId.toNode,_0CanalsId.fromNodeType,_0CanalsId.toNodeType,_0CanalsId.minInputFlow,_0CanalsId.maxInputFlow,_0CanalsId.initialInputFlow,_0CanalsId.initialOutputFlow,_0CanalsId.operationCost,_0CanalsId.hydroelectricEfficiency,_0CanalsId.hydroelectricHeight,_0CanalsId.waveTripTime,_0CanalsId.waveFading,_0CanalsId.name,_1PeriodsValue,value
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,5,0.411
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,6,0.411
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,7,0.411
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,8,0.411
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,9,0.4111
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,10,0.4105
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,11,0.4151
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,12,0.3792
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,13,0.6591
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,14,0.6637
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,15,0.6278
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,16,0.9083
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,17,0.9083
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,18,0.9083
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,19,0.9082
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,20,0.9087
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,21,0.9049
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,22,0.9345
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,23,0.7041
3,2,3,2,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 3,24,2.5
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,1,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,2,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,3,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,4,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,5,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,6,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,7,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,8,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,9,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,10,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,11,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,12,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,13,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,14,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,15,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,16,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,17,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,18,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,19,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,20,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,21,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,22,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,23,0.2
4,4,5,2,2,0.1,6,0.191,0.191,8000,100,0,5483,0.2,Canal 4,24,0.2
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,1,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,2,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,3,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,4,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,5,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,6,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,7,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,8,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,9,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,10,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,11,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,12,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,13,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,14,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,15,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,16,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,17,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,18,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,19,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,20,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,21,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,22,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,23,0.191
5,6,3,2,4,0.1,6,0.191,0.191,9000,100,0,5483,0.2,Canal 5,24,0.191
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,1,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,2,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,3,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,4,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,5,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,6,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,7,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,8,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,9,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,10,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,11,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,12,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,13,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,14,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,15,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,16,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,17,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,18,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,19,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,20,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,21,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,22,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,23,0.1
6,3,4,4,5,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 6,24,0.1
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,1,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,2,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,3,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,4,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,5,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,6,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,7,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,8,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,9,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,10,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,11,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,12,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,13,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,14,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,15,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,16,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,17,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,18,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,19,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,20,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,21,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,22,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,23,0.191
7,9,7,2,2,0.1,6,0.191,0.191,12000,100,0,5483,0.2,Canal 7,24,0.191
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,1,2.309
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,2,2.309
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,3,2.309
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,4,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,5,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,6,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,7,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,8,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,9,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,10,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,11,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,12,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,13,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,14,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,15,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,16,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,17,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,18,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,19,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,20,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,21,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,22,2.009
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,23,2.009
