value,Units,Periods
0.0,DIESEL_4,Mon-17
0.0,GAS_1,Mon-17
0.0,GAS_2,Mon-17
165.0,GAS_3,Mon-17
158.0,GAS_4,Mon-17
500.0000000000001,COAL_1,Mon-18
362.9999999999999,COAL_2,Mon-18
90.0,DIESEL_1,Mon-18
87.0,DIESEL_2,Mon-18
0.0,DIESEL_3,Mon-18
0.0,DIESEL_4,Mon-18
0.0,GAS_1,Mon-18
0.0,GAS_2,Mon-18
165.00000000000003,GAS_3,Mon-18
158.0,GAS_4,Mon-18
500.0000000000001,COAL_1,Mon-19
349.9999999999999,COAL_2,Mon-19
90.0,DIESEL_1,Mon-19
87.0,DIESEL_2,Mon-19
0.0,DIESEL_3,Mon-19
0.0,DIESEL_4,Mon-19
0.0,GAS_1,Mon-19
0.0,GAS_2,Mon-19
165.00000000000003,GAS_3,Mon-19
158.00000000000003,GAS_4,Mon-19
500.0000000000001,COAL_1,Mon-20
356.9999999999999,COAL_2,Mon-20
90.0,DIESEL_1,Mon-20
87.0,DIESEL_2,Mon-20
0.0,DIESEL_3,Mon-20
0.0,DIESEL_4,Mon-20
0.0,GAS_1,Mon-20
0.0,GAS_2,Mon-20
165.00000000000003,GAS_3,Mon-20
158.0,GAS_4,Mon-20
500.0000000000001,COAL_1,Mon-21
368.99999999999983,COAL_2,Mon-21
72.00000000000004,DIESEL_1,Mon-21
87.0,DIESEL_2,Mon-21
0.0,DIESEL_3,Mon-21
0.0,DIESEL_4,Mon-21
0.0,GAS_1,Mon-21
0.0,GAS_2,Mon-21
165.00000000000003,GAS_3,Mon-21
158.00000000000003,GAS_4,Mon-21
500.0000000000001,COAL_1,Mon-22
370.9999999999999,COAL_2,Mon-22
48.00000000000001,DIESEL_1,Mon-22
87.0,DIESEL_2,Mon-22
0.0,DIESEL_3,Mon-22
0.0,DIESEL_4,Mon-22
0.0,GAS_1,Mon-22
0.0,GAS_2,Mon-22
165.00000000000003,GAS_3,Mon-22
158.0,GAS_4,Mon-22
500.0000000000001,COAL_1,Mon-23
371.9999999999999,COAL_2,Mon-23
24.0,DIESEL_1,Mon-23
87.0,DIESEL_2,Mon-23
0.0,DIESEL_3,Mon-23
0.0,DIESEL_4,Mon-23
0.0,GAS_1,Mon-23
0.0,GAS_2,Mon-23
165.00000000000003,GAS_3,Mon-23
158.0,GAS_4,Mon-23
500.0000000000001,COAL_1,Tue-00
378.9999999999999,COAL_2,Tue-00
0.0,DIESEL_1,Tue-00
87.0,DIESEL_2,Tue-00
0.0,DIESEL_3,Tue-00
0.0,DIESEL_4,Tue-00
0.0,GAS_1,Tue-00
0.0,GAS_2,Tue-00
165.00000000000003,GAS_3,Tue-00
158.0,GAS_4,Tue-00
500.0,COAL_1,Tue-01
367.0,COAL_2,Tue-01
0.0,DIESEL_1,Tue-01
87.0,DIESEL_2,Tue-01
0.0,DIESEL_3,Tue-01
0.0,DIESEL_4,Tue-01
0.0,GAS_1,Tue-01
0.0,GAS_2,Tue-01
165.00000000000003,GAS_3,Tue-01
158.0,GAS_4,Tue-01
500.0000000000001,COAL_1,Tue-02
353.9999999999999,COAL_2,Tue-02
0.0,DIESEL_1,Tue-02
