id1,id2
64935,91124
64935,138875
64935,108698
64935,95134
64935,39937
64935,128579
64935,152318
64935,6417
64935,76800
64935,153136
64935,129392
64935,159850
64935,79044
64935,92936
64935,91945
64935,642
64935,53195
64935,80051
64935,64935
64935,78222
64935,59778
64935,37478
64935,133777
64935,143343
64935,127584
64935,119826
64935,71408
64935,135394
64935,121631
64935,117615
64935,97864
64935,19569
64935,12501
64935,137606
64935,21454
64935,105712
64935,38296
64935,106522
64935,20634
64935,95939
64935,11675
64935,109518
64935,1446
64935,138613
64935,82432
64935,83246
64935,104233
64935,98686
64935,65755
64935,68775
64935,74330
64935,93491
64935,58966
64935,54957
64935,122451
48107,154130
48107,160847
48107,81058
48107,88984
48107,3449
48107,67735
48107,15132
48107,124465
48107,73516
48107,41954
48107,51323
48107,85213
48107,44019
48107,48107
48107,114241
48107,145942
48107,14503
48107,62578
48107,61781
48107,17388
48107,8431
48107,100677
48107,32964
48107,75992
48107,88174
48107,64115
48107,47046
48107,103469
48107,30096
48107,161854
48107,131395
48107,162730
2453,87167
2453,115833
2453,10706
2453,123458
2453,148310
2453,56708
2453,102462
2453,32146
2453,112432
2453,26307
2453,39303
2453,144324
2453,110525
2453,130399
2453,29287
2453,54136
2453,66751
2453,43200
2453,7424
2453,125365
2453,99682
2453,45220
2453,22461
2453,69770
2453,23917
2453,118820
2453,151498
2453,107506
2453,41201
2453,84229
2453,142756
2453,35650
2453,16381
2453,60785
2453,132775
2453,86345
2453,13506
2453,2453
