id1,id2
137606,91124
137606,138875
137606,95134
137606,76800
137606,153136
137606,129392
137606,79044
137606,91945
137606,59778
137606,133777
137606,143343
137606,119826
137606,71408
137606,135394
137606,19569
137606,12501
137606,137606
137606,21454
137606,38296
137606,106522
137606,109518
137606,1446
137606,83246
137606,104233
137606,98686
137606,65755
137606,68775
137606,74330
137606,93491
137606,54957
69770,123458
69770,148310
69770,102462
69770,112432
69770,29287
69770,125365
69770,99682
69770,69770
69770,151498
69770,107506
69770,41201
69770,84229
69770,35650
69770,132775
69770,13506
69770,2453
23917,115833
23917,10706
23917,23917
23917,118820
23917,142756
100677,81058
100677,88984
100677,3449
100677,67735
100677,15132
100677,41954
100677,85213
100677,44019
100677,48107
100677,145942
100677,14503
100677,62578
100677,61781
100677,17388
100677,8431
100677,100677
100677,32964
100677,75992
100677,88174
100677,64115
100677,47046
100677,103469
100677,30096
100677,161854
100677,131395
100677,162730
82432,108698
82432,39937
82432,128579
82432,152318
82432,6417
82432,159850
82432,92936
82432,642
82432,53195
82432,64935
82432,78222
82432,37478
82432,127584
82432,121631
82432,117615
82432,97864
82432,105712
82432,20634
82432,95939
82432,11675
82432,138613
82432,82432
82432,58966
82432,122451
60785,87167
60785,154130
60785,160847
60785,56708
60785,32146
60785,26307
60785,39303
60785,144324
60785,110525
60785,80051
60785,130399
60785,54136
60785,66751
60785,43200
60785,124465
60785,73516
60785,51323
60785,7424
60785,45220
60785,114241
60785,22461
60785,16381
60785,60785
60785,86345
