dcId,productId,customerId,ship
2301,SKU 1099,2148,0.0
2301,SKU 1099,2155,0.0
2301,SKU 1099,2169,0.0
2301,SKU 1099,2301,0.0
2301,SKU 1099,6010,0.0
2301,SKU 1099,6040,0.0
2301,SKU 1099,6460,0.0
2301,SKU 1099,6511,0.0
2301,SKU 1099,6902,0.0
2301,SKU 1099,7002,0.0
2301,SKU 1099,7055,0.0
2301,SKU 1099,7087,0.0
2301,SKU 1099,7093,0.0
2301,SKU 1099,7111,0.0
2301,SKU 1099,7305,0.0
2301,SKU 1099,7470,0.0
2301,SKU 1099,8701,0.0
2301,SKU 1099,8753,0.0
2301,SKU 1099,8854,0.0
2301,SKU 1099,10025,0.0
2301,SKU 1099,10314,0.0
2301,SKU 1099,10467,0.0
2301,SKU 1099,10701,0.0
2301,SKU 1099,11226,0.0
2301,SKU 1099,11355,0.0
2301,SKU 1099,11368,0.0
2301,SKU 1099,11372,0.0
2301,SKU 1099,11373,0.0
2301,SKU 1099,11375,0.0
2301,SKU 1099,11377,0.0
2301,SKU 1099,11385,0.0
2301,SKU 1099,11434,0.0
2301,SKU 1099,11550,0.0
2301,SKU 1099,11691,0.0
2301,SKU 1099,11706,0.0
2301,SKU 1099,11746,0.0
2301,SKU 1099,11758,0.0
2301,SKU 1099,12180,0.0
2301,SKU 1099,12550,0.0
2301,SKU 1099,14221,0.0
2301,SKU 1099,14850,0.0
2301,SKU 1099,15601,0.0
2301,SKU 1099,17013,0.0
2301,SKU 1099,17055,0.0
2301,SKU 1099,17404,0.0
2301,SKU 1099,17603,0.0
2301,SKU 1099,18103,0.0
2301,SKU 1099,19020,0.0
2301,SKU 1099,19067,0.0
2301,SKU 1099,19143,0.0
2301,SKU 1099,19382,0.0
2301,SKU 1099,19711,0.0
2301,SKU 1099,19720,0.0
2301,SKU 1099,20011,0.0
2301,SKU 1099,20744,0.0
2301,SKU 1099,20854,0.0
2301,SKU 1099,20878,0.0
2301,SKU 1099,20906,0.0
2301,SKU 1099,21122,0.0
2301,SKU 1099,21215,0.0
2301,SKU 1099,21234,0.0
2301,SKU 1099,21740,0.0
2301,SKU 1099,22003,0.0
2301,SKU 1099,22193,0.0
2301,SKU 1099,22554,0.0
2301,SKU 1099,23322,0.0
2301,SKU 1099,23456,0.0
2301,SKU 1099,29445,0.0
2301,SKU 1099,30032,0.0
2301,SKU 1099,30044,0.0
2301,SKU 1099,30047,0.0
2301,SKU 1099,30058,0.0
2301,SKU 1099,30062,0.0
2301,SKU 1099,30096,0.0
2301,SKU 1099,30349,0.0
2301,SKU 1099,30906,0.0
2301,SKU 1099,30907,0.0
2301,SKU 1099,31907,0.0
2301,SKU 1099,32073,0.0
2301,SKU 1099,32210,0.0
2301,SKU 1099,32792,0.0
2301,SKU 1099,33012,0.0
2301,SKU 1099,33024,0.0
2301,SKU 1099,33064,0.0
2301,SKU 1099,33065,0.0
2301,SKU 1099,33157,0.0
2301,SKU 1099,33165,0.0
2301,SKU 1099,33311,0.0
2301,SKU 1099,37042,0.0
2301,SKU 1099,37211,0.0
2301,SKU 1099,38109,0.0
2301,SKU 1099,43055,0.0
2301,SKU 1099,43081,0.0
2301,SKU 1099,43130,0.0
2301,SKU 1099,43302,0.0
2301,SKU 1099,43701,0.0
2301,SKU 1099,44035,0.0
2301,SKU 1099,44060,0.0
2301,SKU 1099,44077,0.0
2301,SKU 1099,44107,0.0
2301,SKU 1099,44130,0.0
2301,SKU 1099,45011,0.0
2301,SKU 1099,45424,0.0
2301,SKU 1099,45601,0.0
2301,SKU 1099,45840,0.0
2301,SKU 1099,46227,0.0
2301,SKU 1099,47906,0.0
2301,SKU 1099,48066,0.0
2301,SKU 1099,48103,0.0
2301,SKU 1099,48180,0.0
2301,SKU 1099,48185,0.0
2301,SKU 1099,48187,0.0
2301,SKU 1099,48197,0.0
2301,SKU 1099,48227,0.0
2301,SKU 1099,49509,0.0
2301,SKU 1099,55124,0.0
2301,SKU 1099,60004,0.0
2301,SKU 1099,60016,0.0
2301,SKU 1099,60056,0.0
2301,SKU 1099,60067,0.0
2301,SKU 1099,60085,0.0
2301,SKU 1099,60103,0.0
2301,SKU 1099,60123,0.0
2301,SKU 1099,60148,0.0
2301,SKU 1099,60187,0.0
2301,SKU 1099,60402,0.0
2301,SKU 1099,60411,0.0
2301,SKU 1099,60435,0.0
2301,SKU 1099,60441,0.0
2301,SKU 1099,60453,0.0
2301,SKU 1099,60477,0.0
2301,SKU 1099,60505,0.0
2301,SKU 1099,60623,0.0
2301,SKU 1099,60804,0.0
