geo_code,REG,DEP,COM,city,population,geo_x,geo_y,area,population_density,relative_population_density,personal_income,retail_market
60880101,93,6,6088,Nice,1763.6845289,7.276071798553287,43.69559403107993,0.27653470649699,6377.805344007324,0.1276844500049135,2674.127130016706,4716316.647522223
60880102,93,6,6088,Nice,1765.51488825,7.275607866306462,43.69727905763347,0.04593466887563624,38435.34592640613,0.7694803683484954,2814.854217259447,4969667.028824854
60880103,93,6,6088,Nice,1910.54229914,7.279391965951094,43.69835918533144,0.137012642274286,13944.27745809967,0.2791661554277948,3189.164928454503,6093034.49474612
60880201,93,6,6088,Nice,2405.84350919,7.281180873149348,43.70239127255536,0.09222060972540123,26087.91588294319,0.5222832952118744,3340.147997674767,8035873.379939813
60880202,93,6,6088,Nice,2201.36470134,7.285776387952501,43.69597595177496,0.2674840009972513,8229.892977272393,0.1647634729695379,2800.195808096429,6164252.208783716
60880203,93,6,6088,Nice,2724.84073412,7.282628800408967,43.70029993434611,0.08380759016434905,32513.05435195679,0.6509153602202967,3066.80485953187,8356554.804849603
60880204,93,6,6088,Nice,2370.56733705,7.284945855744366,43.70200355483391,0.0691422037729611,34285.38877404193,0.6863977140555939,2991.404857631863,7091326.647394799
60880205,93,6,6088,Nice,2269.84540331,7.287937918740139,43.70142197448317,0.05962284647611962,38070.06101627717,0.7621673193717443,2830.394446335044,6424557.823567752
60880206,93,6,6088,Nice,2829.24153927,7.286690571031242,43.69930382684549,0.09934345734849877,28479.39476622971,0.57016099756253,3238.407880179624,9162238.095703498
60880301,93,6,6088,Nice,2176.96528231,7.2835851837842,43.70607564086882,0.07841939557827551,27760.54656194116,0.555769567807176,3268.989668409751,7116477.016358107
60880302,93,6,6088,Nice,2354.22557736,7.286874209870717,43.70752911200822,0.111603601195499,21094.5305719664,0.4223151051049497,3552.580401651982,8363575.647196958
60880303,93,6,6088,Nice,2171.42045195,7.285373976259368,43.70508057339443,0.08049953581562987,26974.32264607413,0.5400292679918928,3302.437805517228,7170980.992192985
60880304,93,6,6088,Nice,3740.33824655,7.288135023320531,43.70415666464903,0.1023291056939562,36552.04666535958,0.7317764847441869,2894.974969918603,10828185.60279149
60880305,93,6,6088,Nice,3512.30010666,7.291358203726848,43.70325251553545,0.1021937260967481,34369.03849982788,0.6880723918881615,2987.846167237657,10494212.41187249
60880401,93,6,6088,Nice,1957.19086605,7.300039196271306,43.69100808345466,1.297240551922831,1508.73395311992,0.03020503991845172,2342.697135722736,4585105.435958036
60880402,93,6,6088,Nice,1616.68027071,7.290877952237811,43.69788278435356,0.2350281107410993,6878.667686227934,0.1377117759023245,2708.220038067903,4378325.904285865
60880403,93,6,6088,Nice,2662.72702422,7.297732081697157,43.69983238194133,0.731178596460198,3641.691697638399,0.07290711716959616,2487.884198376627,6624556.488147357
60880404,93,6,6088,Nice,1641.16910759,7.297353943695403,43.70926718073329,0.5025889901012373,3265.429883888656,0.06537430922781276,2462.272651374563,4041005.809899656
60880501,93,6,6088,Nice,3985.2518245,7.291924308832763,43.70689114822578,0.1749685266429588,22776.96395439344,0.4559976290325497,3481.005038305832,13872681.68000201
60880502,93,6,6088,Nice,3516.86349058,7.28899320170082,43.71002695594064,0.2040192322561434,17237.90179822177,0.3451049211485825,3413.356731905181,12004309.6707628
60880503,93,6,6088,Nice,2288.74334066,7.294204771912955,43.7117751931808,0.08419999412839681,27182.22684398159,0.5441915356892708,3293.5929866603,7538189.01506324
60880504,93,6,6088,Nice,3706.28658047,7.287271527600059,43.71282417160167,0.2309053685925544,16051.10614387642,0.3213451256986176,3332.5734273753,12351472.17231199
60880505,93,6,6088,Nice,2299.35622572,7.291076794704231,43.71394686021091,0.09260488050415694,24829.75209515857,0.4970947009236645,3393.673760537213,7803264.889353845
60880506,93,6,6088,Nice,2435.07659175,7.295060093255783,43.71593255794084,0.187698421504724,12973.34613806922,0.2597279905883616,3123.07516800043,7604927.235873545
60880507,93,6,6088,Nice,2728.52660928,7.290256589781526,43.71793992484031,0.2487400496424357,10969.38998445269,0.2196085411058039,2986.669039759733,8149205.948097178
60880508,93,6,6088,Nice,2353.67776754,7.294244986806903,43.71999601689947,0.1469891764845276,16012.59238150608,0.320574075423385,3329.951856439509,7837633.651480221
60880509,93,6,6088,Nice,1742.23777743,7.293972239162335,43.72324405343811,0.1332645728781278,13073.52539240342,0.2617335916222006,3129.894211515482,5453019.934661755
60880601,93,6,6088,Nice,3043.88703864,7.281663797080166,43.71255585690727,0.1725464035743827,17640.97643059721,0.3531745250279404,3440.793385094998,10473386.38752891
60880602,93,6,6088,Nice,1286.50312386,7.279693475860835,43.71466064123508,0.1530007704679835,8408.47480653184,0.1683387032282176,2812.35159097594,3618099.107183188
60880603,93,6,6088,Nice,2962.84360627,7.28197201654627,43.72082468359437,0.1606826631324967,18439.09945547068,0.3691530464738765,3495.120358011181,10355495.00587754
60880604,93,6,6088,Nice,2722.6181546,7.285346804839035,43.72153562003672,0.1065995195485525,25540.62312973126,0.5113264267569284,3363.431343141527,9157339.236587783
60880605,93,6,6088,Nice,1329.29404226,7.283098073890847,43.72765183172619,0.3676590161323574,3615.562202835938,0.07238400145928474,2486.105604961568,3304765.369104606
60880701,93,6,6088,Nice,2361.25578474,7.286708550372117,43.7191739274757,0.3449653696700783,6844.906742373251,0.1370358776402708,2705.921983976921,6389373.937720641
60880702,93,6,6088,Nice,3872.62192814,7.287691761124934,43.72897863569395,0.4730702245426467,8186.146003765003,0.163887653161566,2797.218020749325,10832567.8449422
60880801,93,6,6088,Nice,1658.04159525,7.303119433103567,43.72012308316142,2.223879836766122,745.5625829411082,0.01492625491251882,2290.749266702564,3798157.568481287
60880901,93,6,6088,Nice,2374.90474825,7.295904840473693,43.73545331632778,0.1935836514722978,12268.10595929819,0.2456089951830915,3075.070583622511,7302999.730249001
60880902,93,6,6088,Nice,2031.71137536,7.29883477185805,43.737074588315,0.1096046706486432,18536.72259892102,0.3711074738523977,3501.765411098152,7114576.619570302
60880903,93,6,6088,Nice,1690.06723802,7.302706265166744,43.74732038145415,1.608387523964958,1050.783603353057,0.02103681740528238,2311.52517917796,3906632.975186981
60880904,93,6,6088,Nice,1180.24201298,7.303356078896471,43.73709148760606,0.1231122778408307,9586.712500810929,0.1919271672616081,2892.552368689468,3413911.830272125
60880905,93,6,6088,Nice,2249.77521629,7.30305555675992,43.74002243274463,0.2910220591102179,7730.600295965708,0.154767571877319,2766.209744382885,6223350.12597251
60881001,93,6,6088,Nice,2029.90437798,7.277847773268401,43.72136354959423,0.3785655526628773,5362.094790985074,0.1073497993952501,2604.98931794385,5287879.221085356
60881002,93,6,6088,Nice,1912.23612608,7.269253784097334,43.7190554385536,0.2917842059316905,6553.597100891996,0.1312038226703566,2686.092997079213,5136444.067025371
60881003,93,6,6088,Nice,1546.71904732,7.268977126910319,43.72459506854651,0.2741598938729216,5641.66780731588,0.1129468856813588,2624.01941131662,4058620.804020829
60881004,93,6,6088,Nice,3070.21274838,7.275353354106953,43.72538043143837,0.4149128172860544,7399.657519529688,0.1481420566549021,2743.682992626667,8423690.501475783
60881005,93,6,6088,Nice,3047.82739509,7.277618102848313,43.73264649961077,0.7907761456907203,3854.222730034187,0.07716201466437954,2502.35084985889,7626733.47232667
60881101,93,6,6088,Nice,3207.70396495,7.261106628269237,43.71816165871661,0.1726215035593765,18582.29652047173,0.3720198693856414,3504.867555911181,11242577.55572091
60881102,93,6,6088,Nice,3147.88485838,7.261775876752209,43.72134456524509,0.2241172419693215,14045.70585787818,0.2811967645075727,3196.068999325747,10060857.20931524
60881103,93,6,6088,Nice,2600.01106248,7.263593769642727,43.72515856909256,0.3456732337827237,7521.586308630024,0.1505830860586405,2751.982492599378,7155184.924509666
60881104,93,6,6088,Nice,1784.05142653,7.259640520273063,43.72629084881395,0.1759869384762661,10137.40816208699,0.2029521623559151,2930.037352010111,5227337.317639823
60881105,93,6,6088,Nice,2076.43980564,7.265628417854877,43.72892068682379,0.20858681110489,9954.799129633566,0.1992963069923373,2917.607443773947,6058236.233483792
60881201,93,6,6088,Nice,2760.5023838,7.25502599285877,43.7313462579012,0.3993606672982902,6912.304114661667,0.1383851813502858,2710.509616590972,7482368.257912202
60881202,93,6,6088,Nice,1245.46238528,7.253530218657088,43.72719426885811,0.08340812650412177,14932.14675213276,0.2989434205968982,3256.407630029454,4055733.214340475
60881203,93,6,6088,Nice,1991.68504373,7.250546541916547,43.72891392051564,0.2290540594644726,8695.26193243006,0.1740802168780832,2831.872737385483,5640198.576797401
