Pool,Skill,Task,Quantity
Sta05_Elec,SKILL,Plane1_2BJ430-05-747W,1
Sta05_Plumb,SKILL,Plane1_2BJ430-05-868U,1
Sta05_Test,SKILL,Plane1_2BJ430-05-8A49A,1
Sta05_Test,SKILL,Plane1_2BJ430-05-8B10,1
Sta05_Test,SKILL,Plane1_2BJ430-05-8B35,1
Sta05_Test,SKILL,Plane1_2BJ430-05-8B36A,1
Sta05_Plumb,SKILL,Plane1_2BJ430-05-930C,4
Sta05_Plumb,SKILL,Plane1_2BJ430-05-933CA,4
Sta01_Struct,SKILL,Plane1_2BJ440-01-200C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-205C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-210C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-215C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-220C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-225C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-250C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-255C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-260C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-265C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-270C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-275C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-310C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-315C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-320C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-321C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-325C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-330C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-335C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-340C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-350C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-355C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-373C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-375C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-380C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-385C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-390C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-395C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-398C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-700C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-705C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-711C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-712C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-720C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-725C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-730C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-733C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-750C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-755C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-773C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-775C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-780C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-785C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-790C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-795C,1
Sta01_Struct,SKILL,Plane1_2BJ440-01-798C,1
Sta02_Struct,SKILL,Plane1_2BJ440-02-100C,1
Sta02_Struct,SKILL,Plane1_2BJ440-02-105C,1
Sta02_Struct,SKILL,Plane1_2BJ440-02-110C,2
Sta02_Struct,SKILL,Plane1_2BJ440-02-115C,2
Sta02_Struct,SKILL,Plane1_2BJ440-02-150C,1
Sta02_Struct,SKILL,Plane1_2BJ440-02-155C,1
