id_of_Task,taskStartVar,taskEndVar,taskDurationVar,taskStartVarDate,taskEndVarDate,taskAbsenceVar,taskPresenceVar
Plane5_2BJ430-02-306Y,2690637.0,2706837.0,16200.0,2017-12-08 09:23:57,2017-12-08 13:53:57,0,1
Plane5_2BJ430-02-307Y,2634117.0,2676957.0,42840.0,2017-12-07 17:41:57,2017-12-08 05:35:57,0,1
Plane5_2BJ430-02-335U,2817357.0,2830677.0,13320.0,2017-12-09 20:35:57,2017-12-10 00:17:57,0,1
Plane5_2BJ430-02-352Y,2667597.0,2690637.0,23040.0,2017-12-08 02:59:57,2017-12-08 09:23:57,0,1
Plane5_2BJ430-02-401C,2676957.0,2734917.0,57960.0,2017-12-08 05:35:57,2017-12-08 21:41:57,0,1
Plane5_2BJ430-02-402C,2706837.0,2753277.0,46440.0,2017-12-08 13:53:57,2017-12-09 02:47:57,0,1
Plane5_2BJ430-02-407W,2734917.0,2778477.0,43560.0,2017-12-08 21:41:57,2017-12-09 09:47:57,0,1
Plane5_2BJ430-02-409W,2778477.0,2817357.0,38880.0,2017-12-09 09:47:57,2017-12-09 20:35:57,0,1
Plane5_2BJ430-02-524Y,2415600.0,2430360.0,14760.0,2017-12-05 05:00:00,2017-12-05 09:06:00,0,1
Plane5_2BJ430-02-526Y,2430360.0,2438640.0,8280.0,2017-12-05 09:06:00,2017-12-05 11:24:00,0,1
Plane5_2BJ430-02-528Y,2438640.0,2455200.0,16560.0,2017-12-05 11:24:00,2017-12-05 16:00:00,0,1
Plane5_2BJ430-02-605YA,2394000.0,2418840.0,24840.0,2017-12-04 23:00:00,2017-12-05 05:54:00,0,1
Plane5_2BJ430-02-607YA,2418840.0,2444040.0,25200.0,2017-12-05 05:54:00,2017-12-05 12:54:00,0,1
Plane5_2BJ430-02-608Y,2394000.0,2415600.0,21600.0,2017-12-04 23:00:00,2017-12-05 05:00:00,0,1
Plane5_2BJ430-02-613YA,2444040.0,2460600.0,16560.0,2017-12-05 12:54:00,2017-12-05 17:30:00,0,1
Plane5_2BJ430-02-672C,2489400.0,2505600.0,16200.0,2017-12-06 01:30:00,2017-12-06 06:00:00,0,1
Plane5_2BJ430-02-673C,2427120.0,2444760.0,17640.0,2017-12-05 08:12:00,2017-12-05 13:06:00,0,1
Plane5_2BJ430-02-764W,2394000.0,2400480.0,6480.0,2017-12-04 23:00:00,2017-12-05 00:48:00,0,1
Plane5_2BJ430-02-8A30,2516400.0,2531519.0,15119.0,2017-12-06 09:00:00,2017-12-06 13:11:59,0,1
Plane5_2BJ430-02-8A38A,2394000.0,2413800.0,19800.0,2017-12-04 23:00:00,2017-12-05 04:30:00,0,1
Plane5_2BJ430-02-8A43,2453040.0,2478240.0,25200.0,2017-12-05 15:24:00,2017-12-05 22:24:00,0,1
Plane5_2BJ430-02-8A51,2706837.0,2739237.0,32400.0,2017-12-08 13:53:57,2017-12-08 22:53:57,0,1
Plane5_2BJ430-02-8A52,2747517.0,2813037.0,65520.0,2017-12-09 01:11:57,2017-12-09 19:23:57,0,1
